doc_index,topic_id,norm_topic_weight,yr_mnth
419,6,0.5771536,2018-03
420,6,0.54262275,2018-03
421,9,0.4139425,2018-03
422,1,0.4515725,2018-03
423,6,0.9302028,2018-07
424,8,0.34193227,2018-07
425,6,0.6414984,2018-03
426,8,0.4449254,2018-03
427,6,0.51589084,2018-03
428,6,0.9149994,2018-03
429,6,0.5560828,2018-03
430,6,0.6631262,2018-03
431,6,0.42486575,2018-03
432,6,0.85136074,2018-03
433,8,0.87862223,2018-03
434,6,0.612838,2018-07
435,5,0.48292935,2018-03
436,9,0.51530373,2018-03
437,6,0.5122729,2018-03
438,6,0.49567616,2018-03
439,6,0.7122845,2018-03
440,6,0.94669837,2018-03
441,6,0.3706613,2018-03
442,6,0.28276435,2018-03
443,6,0.8065247,2018-03
444,8,0.41008365,2018-07
445,3,0.5098597,2018-03
446,6,0.3896139,2018-03
447,6,0.6371768,2018-03
448,6,0.349916,2018-03
449,6,0.5456126,2018-03
450,6,0.4766474,2018-03
451,6,0.9097378,2018-03
452,6,0.42452785,2018-03
453,8,0.7564661,2018-03
454,8,0.43915308,2018-07
455,6,0.6572661,2018-03
456,8,0.6971707,2018-03
457,1,0.47580796,2018-03
458,6,0.8122384,2018-03
459,6,0.800961,2018-03
460,1,0.506267,2018-03
461,6,0.6372524,2018-03
462,6,0.69225353,2018-03
463,6,0.9813205,2018-03
464,8,0.5153254,2018-07
465,6,0.5927824,2018-03
466,6,0.45828027,2018-03
467,6,0.25786254,2018-03
468,6,0.8131258,2018-03
469,6,0.7159105,2018-03
470,8,0.4532093,2018-03
471,6,0.5521073,2018-03
472,6,0.6918283,2018-03
473,5,0.5135351,2018-03
474,8,0.45782024,2018-03
475,6,0.4033818,2018-07
476,6,0.89149964,2018-03
477,6,0.9024311,2018-03
478,6,0.78782755,2018-03
479,6,0.91034013,2018-03
480,6,0.74948055,2018-03
481,6,0.736078,2018-02
482,6,0.5113817,2018-02
483,6,0.53601897,2018-07
484,5,0.3874091,2018-02
485,6,0.97874385,2018-02
486,4,0.4949994,2018-02
487,6,0.44740233,2018-02
488,7,0.42948663,2018-02
489,6,0.39352697,2018-07
490,6,0.89612305,2018-02
491,5,0.48080605,2018-02
492,9,0.73695135,2018-02
493,6,0.6204348,2018-07
494,9,0.93176293,2018-02
495,6,0.692313,2018-02
496,6,0.593902,2018-02
497,8,0.6404594,2018-07
498,6,0.8410353,2018-02
499,4,0.5513026,2018-02
500,6,0.9958324,2018-02
501,6,0.93157315,2018-02
502,6,0.5176122,2018-02
503,4,0.4074897,2018-02
504,8,0.7386559,2018-07
505,6,0.40894687,2018-07
506,6,0.89756477,2018-02
507,6,0.9310639,2018-02
508,3,0.6219179,2018-02
509,6,0.679941,2018-02
510,6,0.73555094,2018-02
511,6,0.5596699,2018-02
512,7,0.50697565,2018-01
513,6,0.8801312,2018-01
514,6,0.8199602,2018-01
515,6,0.9650151,2018-01
516,6,0.9888874,2018-07
517,6,0.48927316,2018-01
518,6,0.7817527,2018-01
519,4,0.9026665,2018-01
520,6,0.7730743,2018-01
521,8,0.5857331,2018-01
522,3,0.47974735,2018-01
523,8,0.4365862,2018-01
524,5,0.4433505,2018-01
525,6,0.8057407,2018-01
526,6,0.8042815,2018-07
527,3,0.59843534,2018-01
528,6,0.690896,2018-01
529,6,0.57876426,2018-01
530,6,0.8210087,2018-01
531,6,0.3917005,2018-01
532,6,0.8176642,2018-01
533,6,0.53244406,2018-01
534,6,0.3939263,2018-01
535,9,0.38040346,2018-06
536,6,0.86599624,2018-01
537,6,0.85467976,2018-01
538,5,0.59125245,2018-01
539,6,0.9409417,2018-01
540,6,0.728469,2018-01
541,4,0.41990206,2018-01
542,8,0.53572476,2018-01
543,1,0.51361936,2018-01
544,6,0.7543414,2018-01
545,4,0.5814173,2018-01
546,8,0.81812084,2018-06
547,6,0.6305159,2018-01
548,6,0.7065339,2018-01
549,6,0.9780445,2018-01
550,6,0.4960779,2018-01
551,6,0.9348474,2018-01
552,4,0.5468106,2018-01
553,7,0.32326743,2018-01
554,6,0.98448014,2018-01
555,6,0.9749162,2018-01
556,7,0.9479258,2018-06
557,6,0.49021435,2018-01
558,6,0.7822579,2018-01
559,6,0.69129336,2018-01
560,6,0.9879975,2017-12
561,6,0.7754997,2017-12
562,6,0.9460967,2017-12
563,8,0.4897623,2018-06
564,6,0.69735074,2017-12
565,3,0.25757384,2017-12
566,5,0.61935633,2017-12
567,8,0.5804148,2017-12
568,6,0.8610485,2017-12
569,6,0.82110274,2017-12
570,6,0.56501293,2017-12
571,6,0.76007944,2017-12
572,5,0.99399817,2017-12
573,9,0.87369657,2018-06
574,6,0.96621585,2017-12
575,6,0.86560714,2017-12
576,6,0.89100176,2017-12
577,6,0.5430844,2017-12
578,4,0.77905834,2017-12
579,6,0.3565574,2017-12
580,7,0.6557875,2017-12
581,6,0.59304506,2017-11
582,6,0.4539356,2017-11
583,4,0.48295352,2018-06
584,6,0.305171,2017-11
585,3,0.5808607,2017-11
586,6,0.60586876,2017-11
587,8,0.6115191,2017-11
588,6,0.43296796,2017-11
589,6,0.9511896,2017-11
590,6,0.58104837,2017-11
591,6,0.7554239,2017-11
592,6,0.4702076,2017-11
593,8,0.53148854,2018-06
594,6,0.8283755,2017-11
595,6,0.59923065,2017-11
596,6,0.59702504,2017-11
597,5,0.48745292,2017-11
598,8,0.7803539,2017-11
599,6,0.78676856,2017-11
600,9,0.99188983,2017-11
601,6,0.77850723,2017-11
602,6,0.7120704,2017-11
603,6,0.5714624,2018-07
604,7,0.6384472,2018-06
605,6,0.47428745,2017-11
606,6,0.6970334,2017-11
607,6,0.8341571,2017-11
608,6,0.61220855,2017-11
609,6,0.8032304,2017-11
610,8,0.8780091,2017-11
611,3,0.41118613,2017-11
612,6,0.5484929,2017-11
613,6,0.76423097,2017-11
614,8,0.49452454,2018-06
615,8,0.5142146,2017-11
616,3,0.98084563,2017-11
617,6,0.60326415,2017-11
618,6,0.61082953,2017-11
619,1,0.38810337,2017-11
620,1,0.7959124,2017-11
621,0,0.36014935,2017-11
622,6,0.67784035,2017-11
623,6,0.9025966,2017-11
624,0,0.65498924,2018-06
625,6,0.5867072,2017-11
626,7,0.4889818,2017-11
627,2,0.50931,2017-10
628,8,0.48500168,2017-10
629,6,0.6490385,2017-10
630,8,0.5521551,2017-10
631,8,0.5367499,2017-10
632,6,0.6345516,2017-10
633,6,0.61135715,2017-10
634,6,0.81510556,2018-06
635,5,0.73981816,2017-10
636,5,0.5126293,2017-10
637,6,0.6489455,2017-10
638,6,0.47613847,2017-10
639,6,0.7618095,2017-10
640,6,0.6295842,2017-10
641,7,0.3750568,2017-10
642,8,0.68241596,2017-10
643,4,0.4475901,2017-10
644,6,0.53153783,2018-06
645,4,0.524893,2017-10
646,3,0.7414433,2017-10
647,6,0.53247,2017-10
648,6,0.46421295,2017-10
649,8,0.9932824,2017-10
650,5,0.57221746,2017-10
651,1,0.35284778,2017-10
652,8,0.35340777,2017-10
653,1,0.6224764,2017-10
